,Average Earnings
0,565.78
1,722.46
2,2391.3
3,791.58
4,4126.32
5,2186.53
6,612.24
7,3630.43
8,785.34
9,1642.86
10,859.03
11,609.26
12,1042.25
13,2481.48
14,2180.56
15,1840.43
16,402.23
17,2074.26
18,962.26
19,4385.25
20,903.13
21,2134.62
22,1836.73
23,1102.27
24,420.83
25,1943.46
26,1012.35
27,1140.85
28,430.53
29,2311.17
30,2148.94
31,838.98
32,3636.36
33,538.46
34,1041.38
35,702.7
36,568.63
37,1617.02
38,3574.71
39,2310.34
40,152.74
41,277.47
42,1265.31
43,1045.13
44,810.5
45,2675.68
46,1007.69
47,1794.12
48,4351.65
49,568.76
50,1007.46
51,2406.25
52,1394.74
53,2125.0
54,916.67
55,955.36
56,1322.03
57,1432.43
58,754.1
59,1222.22
60,1494.77
61,799.18
62,551.02
63,372.39
64,385.02
65,1180.09
66,1208.33
67,1884.62
68,1090.91
69,1195.12
70,1266.67
71,458.41
72,3210.53
73,960.0
74,816.86
75,76.4
76,100.82
77,1280.25
78,686.57
79,129.24
80,782.73
81,633.91
82,622.05
83,976.74
84,2100.0
85,1225.61
86,606.74
87,1661.76
88,1281.25
89,471.7
90,754.1
91,1170.0
92,870.37
93,2923.08
94,614.29
95,995.0
96,209.29
97,1293.1
98,460.78
99,1551.72
100,1488.37
101,696.2
102,331.51
103,1308.9
104,708.86
105,221.15
106,537.31
107,486.49
108,388.69
109,3800.0
110,921.05
111,833.33
112,1029.41
113,378.79
114,297.87
115,1360.0
116,448.28
117,1985.71
118,1269.23
119,1178.57
120,1640.62
121,136.72
122,2571.43
123,1684.21
124,1960.0
125,627.45
126,121.51
127,1631.58
128,859.46
129,686.49
130,970.15
131,224.4
132,1122.64
133,648.94
134,438.1
135,346.55
136,870.37
137,1247.93
138,160.25
139,794.39
140,884.75
141,138.64
142,413.04
143,282.61
144,939.39
145,723.81
146,964.29
147,425.93
148,463.64
149,1096.15
150,379.31
151,104.32
152,272.56
153,147.06
154,525.64
155,440.19
156,1689.32
157,625.0
158,884.62
159,938.46
160,108.02
161,1333.33
162,101.9
163,863.64
164,254.5
165,381.19
166,1775.0
167,535.56
168,670.89
169,1017.24
170,204.35
171,638.89
172,1454.55
173,2095.24
174,313.61
175,1210.53
176,298.29
177,487.18
178,566.04
179,389.83
180,1294.12
181,128.65
182,443.45
183,1100.0
184,175.4
185,647.06
186,2266.67
187,466.67
188,795.45
189,181.63
190,446.43
